ID,committee name,Name,Status,Type,FPPCID,PENID,MailingLine1,MailingLine2,MailingCity,MailingState,MailingZip,DisclosureLine1,DisclosureLine2,DisclosureCity,DisclosureState,DisclosurePostalCode,TreasurerFirst,TreasurerLast,TreasurerPrefix,Asst Treasurer First,Asst Treasurer Last,Asst Treasurer Prefix,Cont Cand First,Cont Cand Last,Cont Cand Prefix
366,Sierra Club S.F. Bay Chapter Campaigns,Sierra Club S.F. Bay Chapter Campaigns,NONSF,General Purpose,1239281,,"2530 San Pablo Avenue, Suite I",,Berkeley,CA,94702,"2530 San Pablo Avenue, Suite I",,Berkeley,CA,94702,Stacy,Owens,,Henry,Levy,,,,
367,"Sierra Club, SF Bay Chapter Against B&C, sponsored by No Wall on the Northeast Waterfront, No on B&C (see attachment for full committee name).","Sierra Club, SF Bay Chapter Against B&C, sponsored by No Wall on the Northeast Waterfront, No on B&C (see attachment for full committee name).",TERMINATED,Primarily Formed Measure,1361187,,"2530 San Pablo Avenue, Suite I",,Berkeley,CA,94702,"2530 San Pablo Avenue, Suite I",,Berkeley,CA,94702,Stacy,Owens,,Deirdre,Ashby,,,,
368,SKIDMORE OWINGS & MERRILL LLP,,,,,,,,,,,,,,,,,,,,,,,,
369,Small Property Owners of San Francisco 2010 Candidate Support Committee,Small Property Owners of San Francisco 2010 Candidate Support Committee,TERMINATED,General Purpose,1327043,,P.O. Box 170669,,San Francisco,CA,94117,1929 Ellis Street,,San Francisco,CA,94115,David,Fix,,,,,,,
370,SPLUNK INC.,,,,,,,,,,,,,,,,,,,,,,,,
371,"STANDING UP FOR WORKING FAMILIES, A COALITION OF TEACHERS, NURSES, FIREFIGHTERS, PUBLIC EMPLOYEES AND HEALTH CARE ADVOCATES","STANDING UP FOR WORKING FAMILIES, A COALITION OF TEACHERS, NURSES, FIREFIGHTERS, PUBLIC EMPLOYEES AND HEALTH CARE ADVOCATES",ACTIVE,General Purpose,1329001,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,Bob,Muscat,,James,Sutton,,,,
372,"STANDING UP FOR WORKING FAMILIES, NO ON B, A COALITION OF TEACHERS, NURSES, FIREFIGHTERS, PUBLIC EMPLOYEES AND HEALTH CARE ADVOCATES",,,,,,,,,,,,,,,,,,,,,,,,
373,"STANDING UP FOR WORKING FAMILIES, YES ON C, NO ON D, A COALITION OF TEACHERS, NURSES, FIREFIGHTERS, PUBLIC EMPLOYEES AND HEALTH CARE ADVOCATES",,,,,,,,,,,,,,,,,,,,,,,,
374,"Standing up to Save San Francisco - No on Measures B and K / Yes on Measures J and N, a coalition of Teachers, Nurses, Public School Parents and Labor Organizations","Standing up to Save San Francisco - No on Measures B and K / Yes on Measures J and N, a coalition of Teachers, Nurses, Public School Parents and Labor Organizations",TERMINATED,Primarily Formed Measure,1329703,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"1188 Franklin Street, Suite 203",,San Francisco,CA,94109,Tim,Paulson,,Hang,To,,,,
375,"Stephen D. Bechtel, Jr.","Stephen D. Bechtel, Jr.",ANNUAL,Major Donor,1243254,,PO Box 193809,,San Francisco,CA,94119,"199 Fremont Street, 22nd Floor",,San Francisco,CA,94105,,,,,,,,,
376,STEPHEN GRAND,STEPHEN GRAND,ANNUAL,Major Donor,1337355,,"2000 Washington Street, #7",,San Francisco,CA,94108,"2000 Washington Street, #7",,San Francisco,CA,94108,,,,,,,,,
377,Stewart,,,,,,,,,,,,,,,,,,,,,,,,
378,Students First,,,,,,,,,,,,,,,,,,,,,,,,
379,Students First - Yes on H,Students First - Yes on H,TERMINATED,Primarily Formed Measure,1326084,,423 - 33rd. Avenue,,San Francisco,CA,94121,423 - 33rd. Avenue,,San Francisco,CA,94121,Tami,Aviles,,,,,,,
380,Sunset Parkside Democratic Club,Sunset Parkside Democratic Club,TERMINATED,General Purpose,1250148,,38 Homestead Street,,San Francisco,CA,94114,38 Homestead Street,,San Francisco,CA,94114,Ronald,Jin,,,,,,,
381,Support Drafting Ed Lee for SF Mayor 2011,Support Drafting Ed Lee for SF Mayor 2011,TERMINATED,Primarily Formed Candidate,1339973,,"1626 Pierce Street, #414",,San Francisco,CA,94115,"1626 Pierce Street, #414",,San Francisco,CA,94115,Michael,Breyer,,,,,,,
382,Support Our Children Our City Fund,,,,,,,,,,,,,,,,,,,,,,,,
383,"Support Quality Neighborhood Schools for All - Yes on H, Supported by Entrepreneur Joanna Rees and Education Reform Advocates",,,,,,,,,,,,,,,,,,,,,,,,
384,SUTTON LAW FIRM AND AFFILIATED CONTRIBUTOR,,,,,,,,,,,,,,,,,,,,,,,,
385,"Teachers, Firefighters and Neighbors Supporting F.X. Crowley for Supervisor 2012. Sponsored by San Francisco Labor Council","Teachers, Firefighters and Neighbors Supporting F.X. Crowley for Supervisor 2012. Sponsored by San Francisco Labor Council",TERMINATED,Primarily Formed Candidate,1351799,,1188 Franklin Street,,San Francisco,CA,94109,1188 Franklin Street,,San Francisco,CA,94109,Tim,Paulson,,Rita,Copeland,,,,
386,"Teachers, Nurses and Neighbors Supporting Christina Olague for Supervisor 2012. Sponsored by San Francisco Labor Council","Teachers, Nurses and Neighbors Supporting Christina Olague for Supervisor 2012. Sponsored by San Francisco Labor Council",TERMINATED,Primarily Formed Candidate,1351803,,1188 Franklin Street,,San Francisco,CA,94109,1188 Franklin Street,,San Francisco,CA,94109,Tim,Paulson,,Rita,Copeland,,,,
387,"Teachers, Nurses and Neighbors supporting Eric Mar for Supervisor 2012. Sponsored by San Francisco Labor Council","Teachers, Nurses and Neighbors supporting Eric Mar for Supervisor 2012. Sponsored by San Francisco Labor Council",TERMINATED,Primarily Formed Candidate,1351281,,"1188 Franklin Street, Suite 203",,San Francisco,CA,94109,"1188 Franklin Street, Suite 203",,San Francisco,CA,94109,Tim,Paulson,,Stacy,Owens,,,,
388,"Teachers, Nurses, Muni riders, neighbors and working families supporting Mandelman for Supervisor 2010 sponsored by labor organizations","Teachers, Nurses, Muni riders, neighbors and working families supporting Mandelman for Supervisor 2010 sponsored by labor organizations",TERMINATED,Primarily Formed Candidate,1331561,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"1188 Franklin Street, Suite 203",,San Francisco,CA,94103,Tim,Paulson,,Hang,To,,,,
389,"Tenants Against Harrassment, A Committee To Stop Tenant Harassment and For Proposition M","Tenants Against Harrassment, A Committee To Stop Tenant Harassment and For Proposition M",TERMINATED,Primarily Formed Measure,1310178,,558 Capp Street,,San Francisco,CA,94110,558 Capp Street,,San Francisco,CA,94110,Ted,Gullicksen,,,,,,,
390,"Tenants For Fair Rents, A Committee To Support Proposition F","Tenants For Fair Rents, A Committee To Support Proposition F",TERMINATED,Primarily Formed Measure,1325816,,558 Capp Street,,San Francisco,CA,94110,558 Capp Street,,San Francisco,CA,94110,Ted,Gullicksen,,,,,,,
391,The Boldt Company,The Boldt Company,ANNUAL,Major Donor,Pending,,2150 River Plaza Dr. Suite 255,,Sacramento,CA,95833,2150 River Plaza Dr. Suite 255,,Sacramento,CA,95833,,,,,,,,,
392,"The Committee on Fair Drug Pricing - FAIR/SF - Yes on D, Major Funding by the AIDS Healthcare Foundation",,,,,,,,,,,,,,,,,,,,,,,,
393,"The Committee on Fair Drug Pricing - FAIR/SF, Major Funding by the AIDS Healthcare Foundation",,,,,,,,,,,,,,,,,,,,,,,,
394,"THE COMMITTEE ON FAIR DRUG PRICING -FAIR/SF - YES ON D, MAJOR FUNDING BY AIDS HEALTHCARE FOUNDATION",,,,,,,,,,,,,,,,,,,,,,,,
395,The Committee to End the War in Iraq: A Committee in Support of Proposition U,The Committee to End the War in Iraq: A Committee in Support of Proposition U,TERMINATED,Primarily Formed Measure,1309075,,325 Highland Avenue,,San Francisco,CA,94110,325 Highland Avenue,,San Francisco,CA,94110,David,Looman,,,,,,,
396,THE MUNICIPAL ATTORNEYS ASSOCIATION,THE MUNICIPAL ATTORNEYS ASSOCIATION,ACTIVE,General Purpose,1361629,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,Doug,Welch,,,,,,,
397,"THE MUNICIPAL ATTORNEYS ASSOCIATION, NO ON B",,,,,,,,,,,,,,,,,,,,,,,,
398,"THE MUNICIPAL ATTORNEYS ASSOCIATION, YES ON C, NO ON D",,,,,,,,,,,,,,,,,,,,,,,,
399,The San Francisco Foundation,,,,,,,,,,,,,,,,,,,,,,,,
400,The Shaw Group Inc.,The Shaw Group Inc.,ANNUAL,Major Donor,Pending,,4171 Essen Lane,,Baton Rouge,LA,70809,4171 Essen Lane,,Baton Rouge,LA,70809,,,,,,,,,
401,The Trust for Public Land,The Trust for Public Land,ANNUAL,Major Donor,487127,PEN1443,"101 Montgomery Street, Suite 900",,San Francisco,CA,94104,"101 Montgomery Street, Suite 900",,San Francisco,CA,94104,,,,,,,,,
402,"THEY ARE AT IT AGAIN COMMITTEE, NO ON B","THEY ARE AT IT AGAIN COMMITTEE, NO ON B",TERMINATED,Primarily Formed Measure,1308345,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,Janis,Crum,,Kevin,Heneghan,,,,
403,This Land is Your Land,This Land is Your Land,TERMINATED,General Purpose,1346968,,325 Highland Ave.,,San Francisco,CA,94110,325 Highland Ave.,,San Francisco,CA,94110,David,Looman,,,,,,,
404,THOMAS COATES,,,,,,,,,,,,,,,,,,,,,,,,
405,Thomas W. Weisel,Thomas W. Weisel,ANNUAL,Major Donor,494214,,"One Montgomery Street, Suite 3700",,San Francisco,CA,94104,"One Montgomery Street, Suite 3700",,San Francisco,CA,94104,,,,,,,,,
406,Transport Workers Union Local 250A COPE Fund,Transport Workers Union Local 250A COPE Fund,ACTIVE,General Purpose,1367704,,"1508 Fillmore Street, Suite 211",,San Francisco,CA,94115,"1508 Fillmore Street, Suite 211",,San Francisco,CA,94115,Terence,Hall,,,,,,,
407,Trinet Group Inc,Trinet Group Inc,ANNUAL,Major Donor,Pending,,"1100 San Leandro, Suite 400",,San Leandro,CA,94577,"1100 San Leandro, Suite 400",,San Leandro,CA,94577,,,,,,,,,
408,"Truth on Prop H - Concerned Citizens Against Prop H, Sponsored by: Small Property Owners of San Francisco","Truth on Prop H - Concerned Citizens Against Prop H, Sponsored by: Small Property Owners of San Francisco",TERMINATED,Primarily Formed Measure,1292084,,P.O. Box 170669,,San Francisco,CA,94117,"575 Market Street, #2000",,San Francisco,CA,94105,Henry,Levy,,Stacy,Owens,,,,
409,U A LOCAL 38 COPE FUND,,,,,,,,,,,,,,,,,,,,,,,,
410,"U.S. Freight Systems, Inc.","U.S. Freight Systems, Inc.",ANNUAL,Major Donor,Pending,,1819 10th Street,,Oakland,CA,94607,1819 10th Street,,Oakland,CA,94607,,,,,,,,,
411,UNITE HERE LOCAL 2 PAC,UNITE HERE LOCAL 2 PAC,ACTIVE,General Purpose,1243324,,209 Golden Gate Avenue,,San Francisco,CA,94102,209 Golden Gate Avenue,,San Francisco,CA,94102,Lamoin,Werlein-Jaen,,Ian,Lewis,,,,
412,Urban West Construction Inc.,Urban West Construction Inc.,ANNUAL,Major Donor,Pending,,263 Golden Gate Avenue,,San Francisco,CA,94102,263 Golden Gate Avenue,,San Francisco,CA,94102,,,,,,,,,
413,Warfield Theater,Warfield Theater,ANNUAL,Major Donor,,,"988 Market Street, #800",,San Francisco,CA,94102,"988 Market Street, #800",,San Francisco,CA,94102,,,,,,,,,
414,WEBCOR BUILDERS,,,,,,,,,,,,,,,,,,,,,,,,
415,WELLS FARGO & COMPANY AND AFFILIATED ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,
416,WELLS FARGO AND COMPANY AND AFFILIATED ENTITIES,,,,,,,,,,,,,,,,,,,,,,,,
417,Westside Chinese Democratic Club,Westside Chinese Democratic Club,ACTIVE,General Purpose,1239601,,"1032 Irving Street, #101",,San Francisco,CA,94122,2009 14th Avenue,,San Francisco,CA,94116,Fiona,Ma,,,,,,,
418,Why Tuesday San Francisco,,,,,,,,,,,,,,,,,,,,,,,,
419,Why Tuesday San Francisco - Yes on I 2010,Why Tuesday San Francisco - Yes on I 2010,TERMINATED,Primarily Formed Measure,1323880,,"20 Galli Drive, Suite A",,Novato,CA,94949,234 Ritch Street,,San Francisco,CA,94107,James,Sutton,,Nancy,Warren,,,,
420,"Williams-Sonoma, Inc.","Williams-Sonoma, Inc.",ANNUAL,Major Donor,499432,PEN1074,3250 Van Ness Avenue,,San Francisco,CA,94109,3250 Van Ness Avenue,,San Francisco,CA,94109,,,,,,,,,
421,Xiaodan Zhou,Xiaodan Zhou,ANNUAL,Major Donor,Pending,,"250 Baldwin Avenue, #702",,San Mateo,CA,94401,"250 Baldwin Avenue, #702",,San Mateo,CA,94401,,,,,,,,,
422,Yerba Buena Neighborhood Consortium,Yerba Buena Neighborhood Consortium,ANNUAL,Major Donor,Pending,,230 4th Street,,San Francisco,CA,94103,230 4th Street,,San Francisco,CA,94103,,,,,,,,,
423,"Yes on A -- a coalition of MUNI riders, environmentalists, labor and Supervisor Aaron Peskin",,,,,,,,,,,,,,,,,,,,,,,,
424,"Yes on A, Fix Our Parks. A Project of The Conservation Campaign.","Yes on A, Fix Our Parks. A Project of The Conservation Campaign.",TERMINATED,Primarily Formed Measure,1302531,,PO Box 192685,,San Francisco,CA,94119-2685,"185 Berry Street, Suite 1590",,San Francisco,CA,94107,Rachel,Dinno,,,,,,,
425,"Yes on A, Fix Our Parks. A Project of The Conservation Campaign. Major Funding by San Francisco Parks Trust",,,,,,,,,,,,,,,,,,,,,,,,
426,"YES ON B, SAN FRANCISCANS FOR CLEAN AND SAFE NEIGHBORHOOD PARKS, WITH MAJOR SUPPORT FROM SAN FRANCISCO PARKS ALLIANCE, RON CONWAY AND THE TRUST FOR PUBLIC LAND","YES ON B, SAN FRANCISCANS FOR CLEAN AND SAFE NEIGHBORHOOD PARKS, WITH MAJOR SUPPORT FROM SAN FRANCISCO PARKS ALLIANCE, RON CONWAY AND THE TRUST FOR PUBLIC LAND",TERMINATED,Primarily Formed Measure,1348191,,"150 Post Street, Suite 405",,San Francisco,CA,94108,"150 Post Street, Suite 405",,San Francisco,CA,94108,James,Sutton,,,,,,,
427,"Yes on C, Alcatraz Conversion Project","Yes on C, Alcatraz Conversion Project",TERMINATED,Primarily Formed Measure,1302041,,20 Sunnyside A156,,Mill Valley,CA,94941,20 Sunnyside A156,,Mill Valley,CA,94941,Da,Vid,,,,,,,
428,"Yes on E, San Franciscans for Ballot Measure Reform, Supported by Supervisor Scott Wiener","Yes on E, San Franciscans for Ballot Measure Reform, Supported by Supervisor Scott Wiener",TERMINATED,Primarily Formed Measure,1340708,,"4096 - 17th Street, #207",,San Francisco,CA,94114,"4096 - 17th Street, #207",,San Francisco,CA,94114,Stacy,Owens,,Henry,Levy,,,,
429,"Yes on K, Committee United for Safety and Protection","Yes on K, Committee United for Safety and Protection",TERMINATED,Primarily Formed Measure,1304971,,"2215 Market Street, #548",,San Francisco,CA,94114,690 Geary Street #6,,San Francisco,CA,94102,Madelyn,Roderigues,,Maxine,Doogan,,,,
430,Yes on Measure A 2010,Yes on Measure A 2010,TERMINATED,Primarily Formed Measure,1331012,,"2261 Market Street, #319",,San Francisco,CA,94114,"2261 Market Street, #319",,San Francisco,CA,94114,Nancy,Warren,,,,,,,
431,Yes on Measure B for Safer San Francisco Streets - San Francisco Police Officers Association,Yes on Measure B for Safer San Francisco Streets - San Francisco Police Officers Association,TERMINATED,Primarily Formed Measure,1302887,PEN1437,3711 Nineteenth Avenue,,San Francisco,CA,94132,3711 Nineteenth Avenue,,San Francisco,CA,94132,Martin,Halloran,,,,,,,
432,Yes on Measure H 2010,Yes on Measure H 2010,TERMINATED,Primarily Formed Measure,1331010,,"2261 Market Street, #319",,San Francisco,CA,94114,"2261 Market Street, #319",,San Francisco,CA,94114,Nancy,Warren,,,,,,,
433,Yes on Prop A - Committee for Safe Schools,Yes on Prop A - Committee for Safe Schools,TERMINATED,Primarily Formed Measure,1326574,,"44 Montgomery Street, Suite 2310",,San Francisco,CA,94104,"44 Montgomery Street, Suite 2310",,San Francisco,CA,94104,Graham,Brandt,,,,,,,
434,"YES ON PROP B PENSION & BENEFITS REFORM, Supported by Public Defender Jeff Adachi, Harriet Heyman, Michael Moritz and Warren Hellman.",,,,,,,,,,,,,,,,,,,,,,,,
435,Yes on Prop D,Yes on Prop D,TERMINATED,Primarily Formed Measure,1330262,,"44 Montgomery Street, #2310",,San Francisco,CA,94104,"44 Montgomery Street, #2310",,San Francisco,CA,94104,Dana,Rivera,,,,,,,
436,Yes on Prop K. ORG,Yes on Prop K. ORG,TERMINATED,Primarily Formed Measure,1312067,,P.O Box 210256,,San Francisco,CA,94121,"3267 Hollis Street, #7",,Oakland,CA,94608,Stacey,Means,,,,,,,
437,"Yes on Proposition A, Let's Rebuild San Francisco's Schools funded in part by a Citizen interested in improving education in San Francisco public schools","Yes on Proposition A, Let's Rebuild San Francisco's Schools funded in part by a Citizen interested in improving education in San Francisco public schools",TERMINATED,Primarily Formed Measure,1290214,,"101 Montgomery Street, Suite 1900",,San Francisco,CA,94104,"101 Montgomery Street, Suite 1900",,San Francisco,CA,94104,Philip,Halperin,,Raquel,Hernandez,,,,
438,"YES ON PROPOSITION B, supported by Public Defender Jeff Adachi, author Harriet Heyman, business investors Michael Moritz & Warren Hellman, Basic American Goods executivesâ¦(Complete Name See Form 410)",,,,,,,,,,,,,,,,,,,,,,,,
439,"Yes on Proposition D, supported by Public Defender Jeff Adachi, Basic American Foods executive George Hume & business investor Michael Moritz","Yes on Proposition D, supported by Public Defender Jeff Adachi, Basic American Foods executive George Hume & business investor Michael Moritz",TERMINATED,Primarily Formed Measure,1336704,,P.O. Box 77313,,San Francisco,CA,94107,602 Third Street,,San Francisco,CA,94107,Craig,Weber,,,,,,,
440,Yes on Proposition G 2011 (see additional page for full committe name),,,,,,,,,,,,,,,,,,,,,,,,
441,"Yes on Proposition G 2011, a Committee in Support of Public Safety, Children, and Seniors, Supported by SEIU United Healthcare Workers West Political Issues Committee",,,,,,,,,,,,,,,,,,,,,,,,
442,Yes on Proposition G San Francisco,Yes on Proposition G San Francisco,TERMINATED,Primarily Formed Measure,1311102,,191 15th Avenue,,San Francisco,CA,94118,191 15th Avenue,,San Francisco,CA,94118,Reno,Rapagnani,,Belinda,Kerr,,,,
443,"Yosemite Restoration Campaign - Yes on F, sponsored by Restore Hetch Hetchy","Yosemite Restoration Campaign - Yes on F, sponsored by Restore Hetch Hetchy",TERMINATED,Primarily Formed Measure,1345756,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,Michael,Marshall,,,,,,,
444,"Yosemite Restoration Campaign, sponsored by Restore Hetch Hetchy",,,,,,,,,,,,,,,,,,,,,,,,
